OP-11|step_grant_inv|MUT:Step.lean:54:demand(isResponsabile)→demand True|step_grant_inv RED
OP-68|Reactivegas.sweep_idempotent_mutant_caught|ELAB:Invariants.lean|GREEN (witness)
OP-68|solvent_init|ELAB:Invariants.lean|GREEN (witness)
OP-69|Reactivegas.app_members_preservation_holds|ELAB:Step.lean|GREEN
OP-69|Reactivegas.app_members_preservation_mutant_caught|ELAB:Step.lean|GREEN
OP-70|TraceTests.app_members_preservation_holds|ELAB:TraceTests.lean|GREEN
OP-70|TraceTests.app_members_preservation_mutant_caught|ELAB:TraceTests.lean|GREEN
OP-70|TraceTests.all_checks_pass|ELAB:TraceTests.lean|GREEN
OP-70|TraceTests.frozen_checks_faithful|ELAB:TraceTests.lean|GREEN
OP-70|TraceTests.frozen_inventory_faithful|ELAB:TraceTests.lean|GREEN
OP-70|TraceTests.frozen_corpus_faithful|ELAB:TraceTests.lean|GREEN
OP-70|TraceTests.base_departure_applies_cleanup|ELAB:TraceTests.lean|GREEN
OP-70|TraceTests.base_change_can_close_without_ballot|ELAB:TraceTests.lean|GREEN
OP-70|TraceTests.direct_admission_only_holds|ELAB:TraceTests.lean|GREEN
OP-70|TraceTests.base_recompute_reachable_holds|ELAB:TraceTests.lean|GREEN
OP-70|TraceTests.sweep_idempotent_witness|ELAB:TraceTests.lean|GREEN
OP-70|TraceTests.sweep_idempotent_mutant_caught|ELAB:TraceTests.lean|GREEN
OP-71|stepDetailed_erases|ELAB:Trace.lean|GREEN
OP-72|Reactivegas.Composition.voteDerived_iff_not_direct|ELAB:Composition.lean|GREEN
OP-72|Reactivegas.Composition.baseEnacted_threshold_met|ELAB:Composition.lean|GREEN
OP-72|Reactivegas.Composition.appDecided_verdict_exhaustive|ELAB:Composition.lean|GREEN
OP-73|solvent_init|ACCEPT:full-tree-build|acceptance GREEN
OP-74|KelGroups.Vote.verdictOf_threshold_congr|ELAB:Vote/Invariants.lean|GREEN (structural-parametric)
OP-74|KelGroups.Vote.emptyVoteState_sweepReady|ELAB:Vote/Invariants.lean|GREEN (structural-parametric)
OP-74|KelGroups.Vote.emptyVoteState_wellFormed|ELAB:Vote/Invariants.lean|GREEN (structural-parametric)
OP-74|KelGroups.Vote.sweep_filterMap_of_swept|ELAB:Vote/Invariants.lean|GREEN (structural-parametric)
OP-74|KelGroups.Vote.filter_open_idem|ELAB:Vote/Invariants.lean|GREEN (structural-parametric)
OP-74|KelGroups.Vote.sweepDuplicating_duplicates|ELAB:Vote/Invariants.lean|GREEN (structural-parametric)
OP-74|KelGroups.Vote.foldVote_append|ELAB:Vote/Invariants.lean|GREEN (structural-parametric)
OP-42K|KelGroups.Vote.questions_partition|MUT:Vote/Fold.lean:77:closed-append-drop|questions_partition RED
OP-42K|KelGroups.Vote.sweep_filterMap_of_swept|MUT:Vote/Fold.lean:77 (same)|filterMap OBSERVED
