OP-11|step_grant_inv|KILL|MUT:Step.lean:54:demand(isResponsabile)→demand True|RED (exact-g mismatch)
OP-40|KelGroups.Vote.sweepClosures_preserves_qid|KILL|MUT:Vote/Fold.lean:76 (same)|RED (own sweepStep unfold + upstream open/closed_mem)
OP-40|KelGroups.Vote.open_questions_are_open|OBSERVED|MUT:Vote/Fold.lean:76 (same)|OBSERVED (upstream foldVote_wellFormed)
OP-40|KelGroups.Vote.sweepClosures_sweepReady|OBSERVED|MUT:Vote/Fold.lean:76 (same)|OBSERVED (upstream open/closed_mem)
OP-40|KelGroups.Vote.sweepClosures_wellFormed|OBSERVED|MUT:Vote/Fold.lean:76 (same)|OBSERVED (upstream sweepReady)
OP-42|KelGroups.Vote.questions_partition|RECOVERED|mutant-partition.lean|sensitivity reproduced (no kill)
OP-42|KelGroups.Vote.sweep_filterMap_of_swept|OBSERVED|—|OBSERVED (upstream sweepStep_of_open)
OP-42|KelGroups.Vote.filter_open_idem|ELAB-STATIC|ELAB:Vote/Invariants.lean|structural (pure list)
OP-43|KelGroups.Vote.ballots_nodup_disjoint|RECOVERED|mutant-disjoint.lean|sensitivity reproduced (no kill)
OP-43|KelGroups.Vote.placeBallot_clean|RECOVERED|mutant-disjoint.lean|observed
OP-43|KelGroups.Vote.placeBallot_tally|RECOVERED|mutant-disjoint.lean|observed
OP-44|KelGroups.Vote.open_questions_are_open|RECOVERED|mutant-nostale.lean|sensitivity reproduced (no kill)
OP-45|KelGroups.Vote.franchise_of_tallies|RECOVERED|mutant-franchise.lean|sensitivity reproduced (no kill)
OP-45|KelGroups.Vote.unfranchised_cast_noop|RECOVERED|mutant-franchise.lean|observed
OP-45|KelGroups.Vote.inadmissible_is_noop|RECOVERED|mutant-bypass.lean|sensitivity reproduced (no kill)
OP-45|KelGroups.Vote.nonresponsabile_event_noop|RECOVERED|mutant-bypass.lean|observed
OP-46a|KelGroups.Vote.sweepStep_of_open|KILL|MUT:Vote/Fold.lean:63-64:.open-arm→close-branch|RED (own unfold)
OP-46b|KelGroups.Vote.sweepStep_key|KILL|MUT:Vote/Fold.lean:65:entry.1→wrong|RED (own unfold)
OP-47|KelGroups.Vote.verdictOf_threshold_congr|ELAB-STATIC|ELAB:Vote/Invariants.lean|parametric (no threshold-value mutant touches it)
OP-48|KelGroups.Vote.no_expiry|OBSERVED|—|OBSERVED (upstream applyVoteEvent_preserves_wellFormed + foldVote_wellFormed)
OP-49|KelGroups.Vote.inadmissible_is_noop|KILL|MUT:Vote/Validate.lean:58:if-isResponsabile→.ok|RED (own unfold)
OP-49|KelGroups.Vote.nonresponsabile_event_noop|KILL|MUT:Vote/Validate.lean:58 (same)|RED (own unfold)
OP-49|KelGroups.Vote.unfranchised_cast_noop|KILL|MUT:Vote/Validate.lean:58 (same)|RED (own unfold)
OP-50|KelGroups.Vote.effectedState_sweepReady|KILL|MUT:Vote/Fold.lean:96-100:cast-some-arm→gs|RED (own arm reasoning)
OP-50|KelGroups.Vote.effectedState_tally_growth|KILL|MUT:Vote/Fold.lean:96-100 (same)|RED
OP-50|KelGroups.Vote.effectedState_preserves_qid|KILL|MUT:Vote/Fold.lean:96-100 (same)|RED
OP-51|KelGroups.Vote.applyVoteEvent_preserves_wellFormed|KILL|MUT:Vote/Fold.lean:121:ok-arm-sweep-call→effectedState-only|RED (own routing)
OP-51|KelGroups.Vote.applyVoteEvent_preserves_qid|KILL|MUT:Vote/Fold.lean:121 (same)|RED (own routing)
OP-52|KelGroups.Vote.foldVote_append|KILL|MUT:Vote/Fold.lean:129-130:accum→current|RED (own unfold)
OP-54|foldFrom_preserves_wellFormed|KILL|MUT:Vote/Fold.lean:137-138:accum→current|RED (own induction over foldFrom)
OP-54|foldFrom_preserves_qid|KILL|MUT:Vote/Fold.lean:137-138 (same)|RED (own induction)
OP-58|KelGroups.validateDirectAdmission_ok|KILL|MUT:Validate.lean:146:if-isAdmin→if-True|RED (own unfold+split)
OP-58|KelGroups.direct_admission_requires_admin|OBSERVED|MUT:Validate.lean:146 (same)|OBSERVED (upstream validateDirectAdmission_ok)
OP-58|KelGroups.non_admin_admission_is_noop|KILL|MUT:Validate.lean:146 (same)|RED (own unfold)
OP-58|KelGroups.membership_growth_is_direct_admission|KILL|MUT:Validate.lean:146 (same)|RED (own routing)
OP-59|KelGroups.validateDirectAdmission_ok|KILL|MUT:Validate.lean:147:if-target-reserved→if-False|RED (own unfold)
OP-59|KelGroups.direct_admission_requires_admin|OBSERVED|MUT:Validate.lean:147 (same)|OBSERVED (upstream validateDirectAdmission_ok)
OP-60|KelGroups.non_admin_admission_is_noop|KILL|MUT:Validate.lean:148:if-isMember→if-False|RED (own unfold)
OP-60|KelGroups.membership_growth_is_direct_admission|KILL|MUT:Validate.lean:148 (same)|RED (own routing)
OP-61|KelGroups.commitBaseChange_ok|KILL|MUT:Integration.lean:143:{post-with-appFold}→{post-with-pre.appFold}|RED (own unfold)
OP-61|KelGroups.commitBaseChange_members|KILL|MUT:Integration.lean:143 (same)|RED (own unfold)
OP-61|KelGroups.base_change_runs_hook|OBSERVED|MUT:Integration.lean:143 (same)|OBSERVED (upstream tryEnactBase_runs_hook)
OP-62|KelGroups.tryEnactBase_runs_hook|KILL|MUT:Integration.lean:154:length-≥-majority→>|RED (own unfold)
OP-62|KelGroups.tryEnactBase_preserves_absence|KILL|MUT:Integration.lean:154 (same)|RED (own unfold)
OP-62B|KelGroups.app_event_preserves_members|KILL|MUT:Integration.lean:app-branch:members→[]|RED (own unfold)
OP-62B|KelGroups.app_event_has_no_base_change|KILL|MUT:Integration.lean:app-branch (same)|RED (own unfold)
OP-62C|KelGroups.enactMutation_preserves_absence|KILL|MUT:Integration.lean:enactMutation-removeMember-arm:assocErase→identity|RED (own arm equations)
OP-63|Reactivegas.baseHook_votes|KILL|MUT:Step.lean:baseHook:sweepClosures-θ-post→θ-pre|RED (own unfold)
OP-63|Reactivegas.base_change_recomputes_votes|KILL|MUT:Step.lean (same)|RED (own unfold)
OP-64a|KelGroups.enact_preserves_wellFormed|KILL|MUT:Fold.lean:14:assocErase-key→gs.members|RED (definitional cases)
OP-64b|KelGroups.finishEnact_preserves_wellFormed|KILL|MUT:Fold.lean:21:assocErase-proposalId→identity|RED (own erase step)
OP-64c|KelGroups.tryEnact_preserves_wellFormed|KILL|MUT:Fold.lean:37:length-≥-majority→>|RED (own split)
OP-65a|KelGroups.applyPropose_preserves_wellFormed|KILL|MUT:Fold.lean:48-52:assocInsert-proposalId→plain-cons|RED (own insert derivation)
OP-65b|KelGroups.applyApprove_preserves_wellFormed|KILL|MUT:Fold.lean:58-59:setInsert→cons-dup|RED (own unfold)
OP-65b|KelGroups.approvePending_wellFormed|KILL|MUT:Fold.lean:58-59 (same)|RED (definitional)
OP-66E|KelGroups.approvals_nodup|ELAB-STATIC|ELAB:KelGroups/Invariants.lean|structural (bare projection)
OP-66E|KelGroups.proposer_mem_approvals|ELAB-STATIC|ELAB:KelGroups/Invariants.lean|structural (bare projection)
OP-66E|KelGroups.member_key_coherent|ELAB-STATIC|ELAB:KelGroups/Invariants.lean|structural (bare projection)
OP-66E|KelGroups.tryEnact_eq_of_enacts|ELAB-STATIC|ELAB:KelGroups/Invariants.lean|structural (rfl over Enacts relation)
OP-64a|KelGroups.members_change_implies_enacted|KILL|MUT:Fold.lean:14 (same as enact-preserves)|members_change RED (own arm-case analysis)
OP-64c|KelGroups.enact_implies_threshold_met|OBSERVED|MUT:Fold.lean:37 (same)|OBSERVED (upstream threshold lemma; own Detailed unfoldings intact)
OP-67a|KelGroups.majority_table|KILL|MUT:State.lean:50:(adminCount+1)/2→adminCount+1|majority_table RED (verified: 1→2)
OP-67a|KelGroups.majority_not_strict_on_even|KILL|MUT:State.lean:50 (same)|not_strict RED (verified: 4≤1 false)
OP-67b|KelGroups.emptyState_wellFormed|KILL|MUT:State.lean:34:members:=[]→dup-pair|emptyState RED (own unfold)
OP-67G|governance_enacts_windUpAdmin|KILL|MUT:Step.lean:257:refundAll-conti→conti|governance RED (own unfold)
OP-68|Reactivegas.admissionPreservation_holds|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-68|Reactivegas.canonical_economy_holds|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-68|Reactivegas.exhaustive_inventories_hold|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-68|Reactivegas.integrated_theorem_witness_holds|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-68|Reactivegas.productionWellFormed_holds|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-68|Reactivegas.comuneThresholdSanity_holds|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-68|Reactivegas.i57_boundary_holds|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-68|Reactivegas.i57_exhaustive_holds|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-68|Reactivegas.i57_noop_holds|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-68|Reactivegas.i57_auth_holds|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-68|Reactivegas.i57_r45_holds|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-68|Reactivegas.i57_partition_holds|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-68|Reactivegas.i57_disjoint_holds|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-68|Reactivegas.i57_disjoint_mutant_caught|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-68|Reactivegas.i57_nostale_holds|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-68|Reactivegas.i57_franchise_holds|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-68|Reactivegas.i57_franchise_mutant_caught|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-68|Reactivegas.i57_noexpiry_holds|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-68|Reactivegas.i57_policyfree_holds|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-68|Reactivegas.i57_policyfree_mutant_caught|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-68|Reactivegas.comune_cannot_authorize|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-68|Reactivegas.base_departure_applies_cleanup|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-68|Reactivegas.base_change_can_close_without_ballot|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-68|Reactivegas.direct_admission_only_holds|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-68|Reactivegas.base_recompute_reachable_holds|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-68|Reactivegas.sweep_idempotent_witness|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-68|Reactivegas.sweep_idempotent_mutant_caught|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-68|solvent_init|ELAB-STATIC|ELAB:Invariants.lean|GREEN (witness/check)
OP-69K|Reactivegas.app_members_preservation_holds|KILL|MUT:Step.lean:apply:members-wipe|holds RED (decide flips)
OP-69K|TraceTests.app_members_preservation_holds|KILL|MUT:Step.lean:apply:members-wipe (same)|mirror RED
OP-69L|Reactivegas.comune_cannot_authorize|KILL|MUT:Step.lean:357:productionWellFormed-negation-drop|cannot_authorize RED
OP-69L|Reactivegas.productionWellFormed_holds|KILL|MUT:Step.lean:357 (same)|productionWellFormed RED
OP-40|Reactivegas.sweep_idempotent_witness|KILL|MUT:Vote/Fold.lean:76 (same as idempotent)|witness RED (check flips)
OP-40|Reactivegas.sweep_idempotent_mutant_caught|KILL|MUT:Vote/Fold.lean:76 (same)|caught-row RED
OP-40|TraceTests.sweep_idempotent_witness|KILL|MUT:Vote/Fold.lean:76 (same)|mirror RED
OP-40|TraceTests.sweep_idempotent_mutant_caught|KILL|MUT:Vote/Fold.lean:76 (same)|mirror RED
OP-39|Reactivegas.i57_disjoint_holds|KILL|MUT:Vote/Fold.lean:55 (same)|disjoint RED (check flips)
OP-39|Reactivegas.i57_disjoint_mutant_caught|KILL|MUT:Vote/Fold.lean:55 (same)|caught RED
OP-39|Reactivegas.i57_franchise_holds|KILL|MUT:Vote/Fold.lean:55 (same)|franchise RED (tally check flips)
OP-39|Reactivegas.i57_franchise_mutant_caught|KILL|MUT:Vote/Fold.lean:55 (same)|caught RED
OP-57K|KelGroups.Vote.emptyVoteState_sweepReady|KILL|MUT:Vote/State.lean:57-58:openQuestions:=[]→non-empty|sweepReady RED (own unfold)
OP-57K|KelGroups.Vote.emptyVoteState_wellFormed|KILL|MUT:Vote/State.lean:57-58 (same)|wellFormed RED (own unfold)
OP-70|TraceTests.app_members_preservation_holds|ELAB-STATIC|ELAB:TraceTests.lean|GREEN (witness)
OP-70|TraceTests.app_members_preservation_mutant_caught|ELAB-STATIC|ELAB:TraceTests.lean|GREEN (witness)
OP-70|TraceTests.all_checks_pass|ELAB-STATIC|ELAB:TraceTests.lean|GREEN (witness)
OP-70|TraceTests.frozen_checks_faithful|ELAB-STATIC|ELAB:TraceTests.lean|GREEN (witness)
OP-70|TraceTests.frozen_inventory_faithful|ELAB-STATIC|ELAB:TraceTests.lean|GREEN (witness)
OP-70|TraceTests.frozen_corpus_faithful|ELAB-STATIC|ELAB:TraceTests.lean|GREEN (witness)
OP-70|TraceTests.base_departure_applies_cleanup|ELAB-STATIC|ELAB:TraceTests.lean|GREEN (witness)
OP-70|TraceTests.base_change_can_close_without_ballot|ELAB-STATIC|ELAB:TraceTests.lean|GREEN (witness)
OP-70|TraceTests.direct_admission_only_holds|ELAB-STATIC|ELAB:TraceTests.lean|GREEN (witness)
OP-70|TraceTests.base_recompute_reachable_holds|ELAB-STATIC|ELAB:TraceTests.lean|GREEN (witness)
OP-70|TraceTests.sweep_idempotent_witness|ELAB-STATIC|ELAB:TraceTests.lean|GREEN (witness)
OP-70|TraceTests.sweep_idempotent_mutant_caught|ELAB-STATIC|ELAB:TraceTests.lean|GREEN (witness)
OP-71|stepDetailed_erases|ELAB-STATIC|ELAB:Trace.lean|GREEN (wrapper equation)
OP-72|Reactivegas.Composition.voteDerived_iff_not_direct|ELAB-STATIC|ELAB:Composition.lean|GREEN (routing equation)
OP-72|Reactivegas.Composition.baseEnacted_threshold_met|ELAB-STATIC|ELAB:Composition.lean|GREEN (routing equation)
OP-72|Reactivegas.Composition.appDecided_verdict_exhaustive|ELAB-STATIC|ELAB:Composition.lean|GREEN (routing equation)
OP-73|solvent_init|ACCEPT|ACCEPT:full-tree-build|acceptance GREEN
OP-32..38-STATIC|enact_implies_threshold_met|OBSERVED|upstream counterpart (single-count, never summed)|
OP-32..38-STATIC|members_change_implies_enacted|OBSERVED|upstream counterpart (single-count, never summed)|
OP-32..38-STATIC|majority_table|OBSERVED|upstream counterpart (single-count, never summed)|
OP-32..38-STATIC|majority_not_strict_on_even|OBSERVED|upstream counterpart (single-count, never summed)|
OP-OPEN|Reactivegas.base_departure_applies_cleanup|OPEN-KILL|bounded-search:check-def+production-calls|OPEN (falsifying mutant unidentified)
OP-OPEN|Reactivegas.base_change_can_close_without_ballot|OPEN-KILL|bounded-search:check-def+production-calls|OPEN (falsifying mutant unidentified)
OP-OPEN|Reactivegas.direct_admission_only_holds|OPEN-KILL|bounded-search:check-def+production-calls|OPEN (falsifying mutant unidentified)
OP-OPEN|Reactivegas.base_recompute_reachable_holds|OPEN-KILL|bounded-search:check-def+production-calls|OPEN (falsifying mutant unidentified)
OP-OPEN|Reactivegas.i57_boundary_holds|OPEN-KILL|bounded-search:check-def+production-calls|OPEN (falsifying mutant unidentified)
OP-OPEN|Reactivegas.i57_exhaustive_holds|OPEN-KILL|bounded-search:check-def+production-calls|OPEN (falsifying mutant unidentified)
OP-OPEN|Reactivegas.i57_noop_holds|OPEN-KILL|bounded-search:check-def+production-calls|OPEN (falsifying mutant unidentified)
OP-OPEN|Reactivegas.i57_auth_holds|OPEN-KILL|bounded-search:check-def+production-calls|OPEN (falsifying mutant unidentified)
OP-OPEN|Reactivegas.i57_r45_holds|OPEN-KILL|bounded-search:check-def+production-calls|OPEN (falsifying mutant unidentified)
OP-OPEN|Reactivegas.i57_partition_holds|OPEN-KILL|bounded-search:check-def+production-calls|OPEN (falsifying mutant unidentified)
OP-OPEN|Reactivegas.i57_nostale_holds|OPEN-KILL|bounded-search:check-def+production-calls|OPEN (falsifying mutant unidentified)
OP-OPEN|Reactivegas.i57_noexpiry_holds|OPEN-KILL|bounded-search:check-def+production-calls|OPEN (falsifying mutant unidentified)
OP-OPEN|Reactivegas.admissionPreservation_holds|OPEN-KILL|bounded-search:check-def+production-calls|OPEN (falsifying mutant unidentified)
OP-OPEN|Reactivegas.canonical_economy_holds|OPEN-KILL|bounded-search:check-def+production-calls|OPEN (falsifying mutant unidentified)
OP-OPEN|Reactivegas.exhaustive_inventories_hold|OPEN-KILL|bounded-search:check-def+production-calls|OPEN (falsifying mutant unidentified)
OP-OPEN|Reactivegas.integrated_theorem_witness_holds|OPEN-KILL|bounded-search:check-def+production-calls|OPEN (falsifying mutant unidentified)
OP-OPEN|Reactivegas.comuneThresholdSanity_holds|OPEN-KILL|bounded-search:check-def+production-calls|OPEN (falsifying mutant unidentified)
OP-OPEN|TraceTests.base_departure_applies_cleanup|OPEN-KILL|bounded-search:check-def+production-calls|OPEN (falsifying mutant unidentified)
OP-OPEN|TraceTests.base_change_can_close_without_ballot|OPEN-KILL|bounded-search:check-def+production-calls|OPEN (falsifying mutant unidentified)
OP-OPEN|TraceTests.direct_admission_only_holds|OPEN-KILL|bounded-search:check-def+production-calls|OPEN (falsifying mutant unidentified)
OP-OPEN|TraceTests.base_recompute_reachable_holds|OPEN-KILL|bounded-search:check-def+production-calls|OPEN (falsifying mutant unidentified)
OP-65c|KelGroups.foldEvents_preserves_wellFormed|OBSERVED|MUT:Fold.lean:82 (same family)|OBSERVED (upstream applyEvent_preserves_wellFormed)
OP-65c|KelGroups.foldGroup_wellFormed|OBSERVED|MUT:Fold.lean:82 (same)|OBSERVED (upstream foldEvents + emptyState)
OP-64c|KelGroups.tryEnactDetailed_enactment_threshold_met|KILL|MUT:Fold.lean:37:length-≥-majority→>|threshold_met RED (own split)
OP-54a|KelGroups.Vote.foldVote_wellFormed|OBSERVED|—|OBSERVED (upstream foldFrom_preserves_wellFormed)
OP-74|KelGroups.Vote.sweepDuplicating_duplicates|ELAB-STATIC|ELAB:Vote/Invariants.lean|structural (test-def unfold)
OP-69|Reactivegas.app_members_preservation_mutant_caught|ELAB-STATIC|ELAB:Step.lean|structural (self-contained shipped-mutant verification)
OP-65c|KelGroups.applyEvent_preserves_wellFormed|OBSERVED|MUT:Fold.lean:82 (same family)|OBSERVED (upstream approve/propose rows)
OP-74|KelGroups.Vote.tallyKeysOfState_erased_le|ELAB-STATIC|ELAB:Vote/Invariants.lean|structural (checker-unfold+assoc)
OP-74|KelGroups.Vote.tallyKeysOfState_insert_cases|ELAB-STATIC|ELAB:Vote/Invariants.lean|structural (checker-unfold+assoc)
OP-42K|KelGroups.Vote.questions_partition|KILL|MUT:Vote/Fold.lean:77:closed-append-drop|questions_partition RED (own unfold)
OP-42K|KelGroups.Vote.sweep_filterMap_of_swept|OBSERVED|MUT:Vote/Fold.lean:77 (same)|OBSERVED (upstream sweepStep_of_open)
OP-64a|KelGroups.members_change_implies_enacted|KILL|MUT:Fold.lean:14 (same as enact-preserves)|members_change RED (own arm-case analysis)
OP-64c|KelGroups.enact_implies_threshold_met|OBSERVED|MUT:Fold.lean:37 (same)|OBSERVED (upstream threshold lemma; own Detailed unfoldings intact)
OP-66E|approvals_nodup|ELAB-STATIC|ELAB:KelGroups/Invariants.lean|structural (bare projection; counterpart ELAB)
OP-66E|proposer_mem_approvals|ELAB-STATIC|ELAB:KelGroups/Invariants.lean|structural (bare projection; counterpart ELAB)
OP-66E|member_key_coherent|ELAB-STATIC|ELAB:KelGroups/Invariants.lean|structural (bare projection; counterpart ELAB)
OP-54b|KelGroups.Vote.foldVote_append|KILL|MUT:Vote/Fold.lean:129-130:accum→current|append RED (own unfold)
OP-66E|approvals_nodup|ELAB-STATIC|ELAB:KelGroups/Invariants.lean|structural (bare projection; counterpart ELAB)
OP-66E|proposer_mem_approvals|ELAB-STATIC|ELAB:KelGroups/Invariants.lean|structural (bare projection; counterpart ELAB)
OP-66E|member_key_coherent|ELAB-STATIC|ELAB:KelGroups/Invariants.lean|structural (bare projection; counterpart ELAB)
